Date,Dataset,Social Unit,Gesture_sgn,GO_Goal,FunctionalContext,Signaller,Recipient,Distance_rcp,Sgn_sex,Rcp_sex,Sgn_age,Rcp_age
02/05/2018,Leroux,Sonso,NV,NV,Unk,MS,Unk,NV,M,UNK,26,UNK
02/05/2018,Leroux,Sonso,NV,NV,Unk,Unk,Unk,NV,UNK,UNK,UNK,UNK
27/06/2018,Leroux,Sonso,NV,NV,Unk,ML,Unk,NV,F,UNK,43,UNK
02/07/2018,Leroux,Sonso,NV,NV,Unk,NB,Musa/pascal?,NV,F,M,56,UNK
04/07/2018,Leroux,Sonso,NV,NV,Unk,NB,Unk,NV,F,UNK,56,UNK
04/07/2018,Leroux,Sonso,NV,NV,Aff_unk,KY,Unk,NV,F,UNK,35,UNK
04/07/2018,Leroux,Sonso,NV,NV,Unk,unk,Unk,NV,UNK,UNK,UNK,UNK
04/07/2018,Leroux,Sonso,NV,NV,Unk,unk,Unk,NV,UNK,UNK,UNK,UNK
06/07/2018,Leroux,Sonso,NV,NV,Unk,unk,Unk,NV,UNK,UNK,UNK,UNK
06/07/2018,Leroux,Sonso,NV,NV,Unk,ZD,Kato?,NV,M,UNK,17,UNK
22/07/2018,Leroux,Sonso,NV,NV,Unk,UP,SM,NV,F,M,19,25
25/07/2018,Leroux,Sonso,NV,NV,Unk,EV,KA,NV,F,F,14,20
25/07/2018,Leroux,Sonso,NV,NV,Unk,EV,KA,NV,F,F,14,20
19/02/2019,Leroux,Sonso,NV,NV,Unk,ZF,Pascal?,NV,M,UNK,37,UNK
19/02/2019,Leroux,Sonso,NV,NV,Aff_unk,UP,Zefa?,NV,F,UNK,20,UNK
19/02/2019,Leroux,Sonso,NV,NV,Approach,unknown,Zefa?,NV,UNK,UNK,UNK,UNK
20/02/2019,Leroux,Sonso,NV,NV,Aff_unk,NB,FK,NV,F,M,57,20
21/02/2019,Leroux,Sonso,NV,NV,Aff_unk,RS,FK,NV,F,M,22,20
23/02/2019,Leroux,Sonso,NV,NV,Approach,JS,SQ?,NV,M,UNK,13,UNK
23/02/2019,Leroux,Sonso,NV,NV,Aff_unk,PS,Unk,NV,M,UNK,21,UNK
23/02/2019,Leroux,Sonso,NV,NV,Approach,DL,MS,NV,F,M,17,27
23/02/2019,Leroux,Sonso,NV,NV,Approach,DL,Unk/zed?,NV,F,UNK,17,UNK
24/02/2019,Leroux,Sonso,NV,NV,Aff_unk,KG,Unk,NV,F,UNK,43,UNK
25/02/2019,Leroux,Sonso,NV,NV,Aff_unk,ZF,PS,NV,M,M,37,21
25/02/2019,Leroux,Sonso,NV,NV,Aff_unk,JS,MS,NV,M,M,13,27
06/03/2019,Leroux,Sonso,NV,NV,Groom,ZL,unk,NV,M,UNK,24,UNK
06/03/2019,Leroux,Sonso,NV,NV,Unk,ZL,HW,NV,M,UNK,24,26
09/03/2019,Leroux,Sonso,NV,NV,Aff_unk,RS,ZL,NV,F,M,22,24
11/03/2019,Leroux,Sonso,NV,NV,Aff_unk,JS,FK?,NV,M,UNK,13,UNK
11/03/2019,Leroux,Sonso,NV,NV,Groom,KW,FK,NV,F,M,38,20
13/03/2019,Leroux,Sonso,NV,NV,Approach,RM,KT,NV,F,M,17,26
13/03/2019,Leroux,Sonso,NV,NV,Approach,DL,KT,NV,F,M,17,26
13/03/2019,Leroux,Sonso,NV,NV,Aff_unk,RM,KT,NV,F,M,17,26
22/03/2019,Leroux,Sonso,NV,NV,Aff_unk,KJ,unk,NV,M,UNK,6,UNK
31/03/2019,Leroux,Sonso,NV,NV,Aff_unk,CD,HW,NV,F,M,16,26
06/04/2019,Leroux,Sonso,NV,NV,Aff_unk,PS,FK?,NV,M,UNK,21,UNK
16/04/2019,Leroux,Sonso,NV,NV,Approach,KA,FK,NV,F,M,21,20
21/11/2019,Leroux,Sonso,NV,NV,Aff_unk,KT,FK/HW?,NV,M,M,26,UNK
21/11/2019,Leroux,Sonso,NV,NV,Groom,FK,HW,NV,M,M,20,26
26/11/2019,Leroux,Sonso,NV,NV,Aff_unk,KU,HW,NV,F,M,40,26
26/11/2019,Leroux,Sonso,NV,NV,Aff_unk,KU,ZL,NV,F,M,40,24
26/11/2019,Leroux,Sonso,NV,NV,Aff_unk,KU,HW,NV,F,M,40,26
26/11/2019,Leroux,Sonso,NV,NV,Aff_unk,KU,MS,NV,F,M,40,27
27/11/2019,Leroux,Sonso,NV,NV,Approach,NB,HW,NV,F,M,57,26
06/12/2019,Leroux,Sonso,NV,NV,Approach,OK,NB,NV,F,F,23,57
09/12/2019,Leroux,Sonso,NV,NV,Approach,KL,unk,NV,F,UNK,40,UNK
07/02/2020,Leroux,Sonso,NV,NV,Aff_unk,KS,unk,NV,M,UNK,17,UNK
10/02/2020,Leroux,Sonso,NV,NV,Aff_unk,FH,ZL,NV,F,M,7,25
10/02/2020,Leroux,Sonso,NV,NV,Aff_unk,KU,SM,NV,F,M,41,27
14/02/2020,Leroux,Sonso,NV,NV,Approach,RS,MS?,NV,F,UNK,23,UNK
20/02/2020,Leroux,Sonso,NV,NV,Approach,ML,HW,NV,F,M,45,27
20/02/2020,Leroux,Sonso,NV,NV,Approach,ML,ZL,NV,F,M,45,25
24/02/2020,Leroux,Sonso,NV,NV,Groom,MS,HW,NV,F,M,28,27
27/02/2020,Leroux,Sonso,NV,NV,Aff_unk,ZD,ZL,NV,M,M,19,25
03/03/2020,Leroux,Sonso,NV,NV,Aff_unk,KS,FK?,NV,M,UNK,17,UNK
03/03/2020,Leroux,Sonso,NV,NV,Unk,JN,FK,NV,F,M,36,21
03/03/2020,Leroux,Sonso,NV,NV,Approach,ZD,HW/ZL,NV,M,M,19,UNK
05/03/2020,Leroux,Sonso,NV,NV,Approach,NB,MS?,NV,F,UNK,58,UNK
09/03/2020,Leroux,Sonso,NV,NV,Approach,KU,SM,NV,F,M,41,27
12/03/2020,Leroux,Sonso,NV,NV,Approach,YL,SM/HW?,NV,F,M,18,UNK
